NodeName,NodeIPAddress,BoardName,Channel,Address
AH:Adams Hall,10.50.75.69,AH:Adams Hall-CP0-1501,0,0
AH:Adams Hall,10.50.75.69,AH:Adams Hall-CP1-MR52,1,0
AL:Alex,10.50.75.67,AL:Alex-CP0-NEW PANEL,0,0
AL:Alex,10.50.75.67,AL:Alex-CP1-MR52,1,0
AL:Alex,10.50.75.67,AL:Alex-CP2-MR52,2,0
AL:Alex,10.50.75.67,AL:Alex-CP2-MR52,2,1
Admission House,10.40.75.68,Admission House-CP0-1502,0,0
BN: Buchanan Hall,10.50.75.70,BN: Buchanan Hall-CP0-1502,0,0
BTP 325,10.20.75.71,BTP 325-CP0-1502,0,0
BTP 325,10.20.75.71,BTP 325-CP1-MR52,1,0
BTP 325,10.20.75.71,BTP 325-CP1-MR52,1,1
Bica-Ross,10.30.75.66,Bica-Ross-CP0-NEW PANEL,0,0
Bica-Ross,10.30.75.66,Bica-Ross-CP1-MR52,1,0
Bica-Ross,10.30.75.66,Bica-Ross-CP1-MR52,1,1
Bica-Ross,10.30.75.66,Bica-Ross-CP1-MR52,1,2
Bica-Ross,10.30.75.66,Bica-Ross-CP1-MR52,1,3
Burnett Center,10.70.75.66,Burnett Center-CP1-MR52,1,0
Burnett Center,10.70.75.66,Burnett Center-CP1-MR52,1,1
Burnett Center,10.70.75.66,Burnett Center-CP1-MR16IN,1,3
Burnett Center,10.70.75.66,Burnett Center-CP2-MR50,2,0
CH:Cleveland Hall,10.50.75.71,CH:Cleveland Hall-CP0-NEW PANEL,0,0
CH:Cleveland Hall,10.50.75.71,CH:Cleveland Hall-CP1-MR52,1,0
Campus Safety,10.10.75.65,Campus Safety-CP0-1502,0,0
Commons,10.10.75.66,Commons-CP0-1502,0,0
Cooper Hall,10.50.75.66,Cooper Hall-CP0-NEW PANEL,0,0
Cooper Hall,10.50.75.66,Cooper Hall-CP1-MR52,1,0
Cooper Hall,10.50.75.66,Cooper Hall-CP1-MR50,1,1
Cooper Hall,10.50.75.66,Cooper Hall-CP1-MR52,1,2
Cooper Hall,10.50.75.66,Cooper Hall-CP1-MR52,1,3
Cooper Hall,10.50.75.66,Cooper Hall-CP1-MR52,1,4
DG Bldg. 322,10.20.75.66,DG Bldg. 322-CP0-NEW PANEL,0,0
DG Bldg. 322,10.20.75.66,DG Bldg. 322-CP2-MR52,2,0
DG Bldg. 322,10.20.75.66,DG Bldg. 322-CP2-MR52,2,1
DH:Washington Hall,10.50.75.72,DH:Washington Hall-CP0-NEW PANEL,0,0
DH:Washington Hall,10.50.75.72,DH:Washington Hall-CP1-MR52,1,0
DTD Bldg. 211,10.20.75.67,DTD Bldg. 211-CP0-NEW PANEL,0,0
DTD Bldg. 211,10.20.75.67,DTD Bldg. 211-CP2-MR52,2,0
DTD Bldg. 211,10.20.75.67,DTD Bldg. 211-CP2-MR52,2,1
Davis Hall,10.40.75.67,Davis Hall-CP1-MR16IN,1,0
Dieter-Porter,10.40.75.66,Dieter-Porter-CP0-1502,0,0
Dieter-Porter,10.40.75.66,Dieter-Porter-CP1-MR16IN,1,0
Dieter-Porter,10.40.75.66,Dieter-Porter-CP1-MR16OUT,1,0
Fillmore Dorm,10.50.75.74,Fillmore Dorm-CP0-1502,0,0
HH:Harrison Hall,10.50.75.76,HH:Harrison Hall-CP0-NEW PANEL,0,0
HH:Harrison Hall,10.50.75.76,HH:Harrison Hall-CP1-MR52,1,0
Henry/Rec.Center IDF 139,10.30.75.71,Henry/Rec.Center IDF 139-CP0-1502,0,0
Henry/Rec.Center IDF 139,10.30.75.71,Henry/Rec.Center IDF 139-CP1-MR16IN,1,30
Henry/Rec.Center IDF 307,10.30.75.73,Henry/Rec.Center IDF 307-CP0-1502,0,0
Henry/Rec.Center IDF 307,10.30.75.73,Henry/Rec.Center IDF 307-CP1-MR52,1,0
Henry/Rec.Center IDF 307,10.30.75.73,Henry/Rec.Center IDF 307-CP1-MR16IN,1,30
Henry/Rec.Center IDF 353,10.30.75.72,Henry/Rec.Center IDF 353-CP0-1502,0,0
Henry/Rec.Center IDF 353,10.30.75.72,Henry/Rec.Center IDF 353-CP1-MR16IN,1,30
IH:Lincoln Hall,10.50.75.78,IH:Lincoln Hall-CP0-1501,0,0
IH:Lincoln Hall,10.50.75.78,IH:Lincoln Hall-CP1-MR52,1,0
JH:Jefferson Hall,10.50.75.77,JH:Jefferson Hall-CP0-NEW PANEL,0,0
