configName,portalName,nodeName,lockSlot,lockPosition,dsmSlot,dsmPosition,rexSlot,rexPosition,reader1Slot,reader1Position
TSE-1502-CONFIG,TSE-DR500-2,TSE-1502,1,1,1,1,1,2,1,1
TSE-1502-CONFIG,TSE-DR500-2,TSE-1502,1,4,1,5,1,6,1,2
TSE-1502-CONFIG,TSE-DR500-2,TSE-1502,2,1,2,1,2,2,2,1
TSE-1502-CONFIG,TSE-DR500-2,TSE-1502,2,4,2,5,2,6,2,2
TSE-1502-CONFIG,TSE-DR500-2,TSE-1502,3,1,3,1,3,2,3,1
TSE2-1502-CONFIG,TSE-DR500-20,TSE-15020,1,1,1,1,1,2,1,1
TSE2-1502-CONFIG,TSE-DR500-20,TSE-15020,1,4,1,5,1,6,1,2
TSE2-1502-CONFIG,TSE-DR500-20,TSE-15020,2,1,2,1,2,2,2,1
TSE2-1502-CONFIG,TSE-DR500-20,TSE-15020,2,4,2,5,2,6,2,2
TSE2-1502-CONFIG,TSE-DR500-20,TSE-15020,3,1,3,1,3,2,3,1
