NodeID,NodeName,NetworkControlerIP,enabled,NodeIPAddressMethod,NodeIP,NodeSubnetMask,NodeGateway,NodeType,Slot,BoardType,BoardSN,BoardRev
E300000035C0EC27,TSE-S2 Node,192.168.1.4,1,3,192.168.100.70,255.255.255.0,192.168.1.1,Node,0,4,478,27
E300000035C0EC27,TSE-S2 Node,192.168.1.4,1,3,192.168.100.70,255.255.255.0,192.168.1.1,Node,1,4,97,27
E300000035C0EC27,TSE-S2 Node,192.168.1.4,1,3,192.168.100.70,255.255.255.0,192.168.1.1,Node,2,2,47,27
E300000035C0EC27,TSE-S2 Node,192.168.1.4,1,3,192.168.100.70,255.255.255.0,192.168.1.1,Node,3,1,91,27
E300000035C0EC27,TSE-S2 Node,192.168.1.4,1,3,192.168.100.70,255.255.255.0,192.168.1.1,Node,4,4,196,27
E300000035C0EC27,TSE-S2 Node,192.168.1.4,1,3,192.168.100.70,255.255.255.0,192.168.1.1,Node,5,4,1571,27
E300000035C0EC27,TSE-S2 Node,192.168.1.4,1,3,192.168.100.70,255.255.255.0,192.168.1.1,Node,6,4,249,27
E300000035C0EC28,TSE-S2 Node2,192.168.1.4,1,1,,,,Node,0,4,478,27
E300000035C0EC28,TSE-S2 Node2,192.168.1.4,1,1,,,,Node,1,4,101,27
E300000035C0EC28,TSE-S2 Node2,192.168.1.4,1,1,,,,Node,2,2,102,27
E300000035C0EC28,TSE-S2 Node2,192.168.1.4,1,1,,,,Node,3,1,103,27
E300000035C0EC28,TSE-S2 Node2,192.168.1.4,1,1,,,,Node,4,4,104,27
E300000035C0EC28,TSE-S2 Node2,192.168.1.4,1,1,,,,Node,5,4,105,27
E300000035C0EC28,TSE-S2 Node2,192.168.1.4,1,1,,,,Node,6,4,105,27
